12:29:06 -> lat:40.2327832, lon:29.0090449, alt:3.01, spd:0.040, btr:32, hea:272, mod:GUIDED, arm:Armed
12:29:06 -> lat:40.2327832, lon:29.009045, alt:2.95, spd:0.010, btr:32, hea:274, mod:GUIDED, arm:Armed
12:29:07 -> lat:40.2327832, lon:29.0090452, alt:2.89, spd:0.020, btr:32, hea:275, mod:GUIDED, arm:Armed
12:29:07 -> lat:40.2327831, lon:29.0090454, alt:2.84, spd:0.050, btr:32, hea:277, mod:GUIDED, arm:Armed
12:29:08 -> lat:40.2327828, lon:29.0090454, alt:2.79, spd:0.070, btr:32, hea:279, mod:GUIDED, arm:Armed
12:29:08 -> lat:40.2327827, lon:29.0090453, alt:2.74, spd:0.080, btr:32, hea:281, mod:GUIDED, arm:Armed
12:29:09 -> lat:40.2327825, lon:29.0090451, alt:2.68, spd:0.070, btr:32, hea:283, mod:GUIDED, arm:Armed
12:29:09 -> lat:40.2327824, lon:29.0090448, alt:2.63, spd:0.070, btr:31, hea:285, mod:GUIDED, arm:Armed
12:29:10 -> lat:40.2327824, lon:29.0090448, alt:2.63, spd:0.060, btr:31, hea:286, mod:GUIDED, arm:Armed
12:29:10 -> lat:40.2327824, lon:29.0090446, alt:2.58, spd:0.040, btr:31, hea:288, mod:GUIDED, arm:Armed
12:29:11 -> lat:40.2327823, lon:29.0090445, alt:2.53, spd:0.030, btr:31, hea:290, mod:GUIDED, arm:Armed
12:29:11 -> lat:40.2327823, lon:29.0090444, alt:2.48, spd:0.030, btr:31, hea:292, mod:GUIDED, arm:Armed
12:29:12 -> lat:40.2327823, lon:29.0090443, alt:2.43, spd:0.030, btr:31, hea:293, mod:GUIDED, arm:Armed
12:29:12 -> lat:40.2327823, lon:29.0090441, alt:2.38, spd:0.020, btr:31, hea:291, mod:GUIDED, arm:Armed
12:29:13 -> lat:40.2327823, lon:29.0090441, alt:2.33, spd:0.000, btr:31, hea:288, mod:GUIDED, arm:Armed
12:29:13 -> lat:40.2327823, lon:29.0090441, alt:2.33, spd:0.000, btr:31, hea:285, mod:GUIDED, arm:Armed
12:29:14 -> lat:40.2327823, lon:29.009044, alt:2.28, spd:0.000, btr:31, hea:282, mod:GUIDED, arm:Armed
12:29:14 -> lat:40.2327823, lon:29.009044, alt:2.23, spd:0.000, btr:31, hea:279, mod:GUIDED, arm:Armed
12:29:15 -> lat:40.2327823, lon:29.0090439, alt:2.18, spd:0.000, btr:30, hea:278, mod:GUIDED, arm:Armed
12:29:15 -> lat:40.2327824, lon:29.009044, alt:2.13, spd:0.010, btr:30, hea:278, mod:GUIDED, arm:Armed
12:29:16 -> lat:40.2327824, lon:29.009044, alt:2.08, spd:0.010, btr:30, hea:279, mod:GUIDED, arm:Armed
12:29:16 -> lat:40.2327824, lon:29.009044, alt:2.04, spd:0.000, btr:30, hea:279, mod:GUIDED, arm:Armed
12:29:17 -> lat:40.2327825, lon:29.009044, alt:1.99, spd:0.000, btr:30, hea:279, mod:GUIDED, arm:Armed
12:29:17 -> lat:40.2327825, lon:29.009044, alt:1.94, spd:0.010, btr:30, hea:278, mod:GUIDED, arm:Armed
12:29:18 -> lat:40.2327824, lon:29.009044, alt:1.93, spd:0.030, btr:30, hea:279, mod:GUIDED, arm:Armed
12:29:18 -> lat:40.2327825, lon:29.0090442, alt:1.94, spd:0.020, btr:30, hea:278, mod:GUIDED, arm:Armed
12:29:19 -> lat:40.2327825, lon:29.0090442, alt:1.94, spd:0.010, btr:30, hea:278, mod:GUIDED, arm:Armed
12:29:19 -> lat:40.2327825, lon:29.0090442, alt:1.94, spd:0.020, btr:30, hea:279, mod:GUIDED, arm:Armed
12:29:20 -> lat:40.2327826, lon:29.0090444, alt:1.94, spd:0.030, btr:29, hea:279, mod:GUIDED, arm:Armed
12:29:20 -> lat:40.2327826, lon:29.0090445, alt:1.94, spd:0.030, btr:29, hea:278, mod:GUIDED, arm:Armed
12:29:21 -> lat:40.2327826, lon:29.0090445, alt:1.94, spd:0.020, btr:29, hea:278, mod:GUIDED, arm:Armed
12:29:21 -> lat:40.2327826, lon:29.0090446, alt:1.94, spd:0.020, btr:29, hea:279, mod:GUIDED, arm:Armed
12:29:22 -> lat:40.2327825, lon:29.0090447, alt:1.94, spd:0.030, btr:29, hea:279, mod:GUIDED, arm:Armed
12:29:22 -> lat:40.2327825, lon:29.0090448, alt:1.94, spd:0.020, btr:29, hea:279, mod:GUIDED, arm:Armed
12:29:23 -> lat:40.2327824, lon:29.0090447, alt:1.94, spd:0.010, btr:29, hea:278, mod:GUIDED, arm:Armed
12:29:23 -> lat:40.2327824, lon:29.0090447, alt:1.93, spd:0.010, btr:29, hea:269, mod:GUIDED, arm:Armed
12:29:24 -> lat:40.2327824, lon:29.0090447, alt:1.93, spd:0.000, btr:28, hea:269, mod:GUIDED, arm:Armed
12:29:24 -> lat:40.2327824, lon:29.0090447, alt:1.93, spd:0.000, btr:28, hea:270, mod:GUIDED, arm:Armed
12:29:25 -> lat:40.2327823, lon:29.0090447, alt:1.93, spd:0.000, btr:28, hea:273, mod:GUIDED, arm:Armed
12:29:25 -> lat:40.2327824, lon:29.0090447, alt:1.94, spd:0.030, btr:28, hea:289, mod:GUIDED, arm:Armed
12:29:26 -> lat:40.232784, lon:29.0090448, alt:1.95, spd:0.490, btr:28, hea:307, mod:GUIDED, arm:Armed
12:29:26 -> lat:40.2327878, lon:29.0090452, alt:1.99, spd:0.900, btr:28, hea:326, mod:GUIDED, arm:Armed
12:29:27 -> lat:40.2327935, lon:29.0090456, alt:2.05, spd:1.330, btr:28, hea:346, mod:GUIDED, arm:Armed
12:29:27 -> lat:40.2328005, lon:29.0090458, alt:2.15, spd:1.570, btr:28, hea:2, mod:GUIDED, arm:Armed
12:29:28 -> lat:40.2328086, lon:29.0090454, alt:2.27, spd:1.760, btr:28, hea:1, mod:GUIDED, arm:Armed
12:29:28 -> lat:40.2328174, lon:29.0090444, alt:2.4, spd:1.960, btr:27, hea:357, mod:GUIDED, arm:Armed
12:29:29 -> lat:40.2328268, lon:29.0090434, alt:2.54, spd:2.140, btr:27, hea:359, mod:GUIDED, arm:Armed
12:29:29 -> lat:40.2328367, lon:29.0090428, alt:2.68, spd:2.230, btr:27, hea:359, mod:GUIDED, arm:Armed
12:29:30 -> lat:40.2328465, lon:29.0090424, alt:2.8, spd:2.160, btr:27, hea:359, mod:GUIDED, arm:Armed
